job,gpu,start_s,dur_s
0,0,0.0,0.8
1,1,0.0,0.8
2,2,0.0,0.8
3,3,0.0,0.8
4,4,0.0,0.8
4,5,0.0,0.8
5,6,0.0,0.8
5,7,0.0,0.8
0,0,0.8,0.8
1,1,0.8,0.8
2,2,0.8,0.8
3,3,0.8,0.8
4,4,0.8,0.8
4,5,0.8,0.8
5,6,0.8,0.8
6,7,0.8,0.8
0,0,1.6,0.8
1,1,1.6,0.8
2,2,1.6,0.8
3,3,1.6,0.8
4,4,1.6,0.8
5,5,1.6,0.8
6,6,1.6,0.8
7,7,1.6,0.8
0,0,2.4000000000000004,0.8
1,1,2.4000000000000004,0.8
2,2,2.4000000000000004,0.8
3,3,2.4000000000000004,0.8
5,4,2.4000000000000004,0.8
5,5,2.4000000000000004,0.8
6,6,2.4000000000000004,0.8
7,7,2.4000000000000004,0.8
0,0,3.2,0.8
1,1,3.2,0.8
2,2,3.2,0.8
3,3,3.2,0.8
6,4,3.2,0.8
7,5,3.2,0.8
7,0,4.0,0.8
